   33.000000 -178.000000    -10.128
   34.000000 -178.000000     -8.912
   35.000000 -178.000000    -10.000
   36.000000 -178.000000    -11.130
   37.000000 -178.000000    -12.272
   38.000000 -178.000000    -12.715
   39.000000 -178.000000    -12.455
   40.000000 -178.000000    -12.196
   41.000000 -178.000000    -12.032
   42.000000 -178.000000    -11.333
   43.000000 -178.000000     -9.174
   44.000000 -178.000000     -7.700
   45.000000 -178.000000     -5.708
   46.000000 -178.000000     -3.637
   47.000000 -178.000000     -1.796
   48.000000 -178.000000      0.297
   49.000000 -178.000000      1.697
   50.000000 -178.000000     -4.726
   51.000000 -178.000000     -7.697
   52.000000 -178.000000      3.625
   53.000000 -178.000000      1.843
   54.000000 -178.000000      1.989
   55.000000 -178.000000      2.605
   56.000000 -178.000000      2.880
   57.000000 -178.000000      2.349
   58.000000 -178.000000      1.193
   59.000000 -178.000000      4.772
   60.000000 -178.000000      4.778
   61.000000 -178.000000      4.293
   62.000000 -178.000000      5.006
   63.000000 -178.000000      4.962
   64.000000 -178.000000      4.356
   65.000000 -178.000000      3.823
   66.000000 -178.000000      3.625
   67.000000 -178.000000      3.784
   68.000000 -178.000000      2.973
   69.000000 -178.000000      2.549
   70.000000 -178.000000      2.021
   71.000000 -178.000000      2.774
   72.000000 -178.000000      2.486
   73.000000 -178.000000      2.178
   74.000000 -178.000000      0.920
   75.000000 -178.000000      1.222
   76.000000 -178.000000      0.862
   77.000000 -178.000000      2.138
   78.000000 -178.000000      2.948
   79.000000 -178.000000      3.088
   80.000000 -178.000000      3.455
   81.000000 -178.000000      3.652
   82.000000 -178.000000      4.734
   83.000000 -178.000000      5.915
   84.000000 -178.000000      7.828
   85.000000 -178.000000      9.284
   86.000000 -178.000000      9.364
   87.000000 -178.000000     10.699
   88.000000 -178.000000     11.412
   89.000000 -178.000000     13.496
   90.000000 -178.000000     14.899
  -90.000000 -177.000000    -30.150
  -89.000000 -177.000000    -30.030
  -88.000000 -177.000000    -29.005
  -87.000000 -177.000000    -30.283
  -86.000000 -177.000000    -31.336
  -85.000000 -177.000000    -35.577
  -84.000000 -177.000000    -42.991
  -83.000000 -177.000000    -46.688
  -82.000000 -177.000000    -48.537
  -81.000000 -177.000000    -50.747
  -80.000000 -177.000000    -52.704
  -79.000000 -177.000000    -54.592
  -78.000000 -177.000000    -57.303
  -77.000000 -177.000000    -58.487
  -76.000000 -177.000000    -59.693
  -75.000000 -177.000000    -61.992
  -74.000000 -177.000000    -63.413
  -73.000000 -177.000000    -63.111
  -72.000000 -177.000000    -62.311
  -71.000000 -177.000000    -63.797
  -70.000000 -177.000000    -64.101
  -69.000000 -177.000000    -62.731
  -68.000000 -177.000000    -61.036
  -67.000000 -177.000000    -58.909
  -66.000000 -177.000000    -53.521
  -65.000000 -177.000000    -51.348
  -64.000000 -177.000000    -50.135
  -63.000000 -177.000000    -48.961
  -62.000000 -177.000000    -48.161
  -61.000000 -177.000000    -46.994
  -60.000000 -177.000000    -45.392
  -59.000000 -177.000000    -44.161
  -58.000000 -177.000000    -42.235
  -57.000000 -177.000000    -39.574
  -56.000000 -177.000000    -37.268
  -55.000000 -177.000000    -34.671
  -54.000000 -177.000000    -31.641
  -53.000000 -177.000000    -28.625
  -52.000000 -177.000000    -25.527
  -51.000000 -177.000000    -21.145
  -50.000000 -177.000000    -15.137
  -49.000000 -177.000000    -14.715
  -48.000000 -177.000000    -11.742
  -47.000000 -177.000000     -8.255
  -46.000000 -177.000000     -3.621
  -45.000000 -177.000000      2.692
  -44.000000 -177.000000      9.662
  -43.000000 -177.000000     11.851
  -42.000000 -177.000000     12.877
  -41.000000 -177.000000     15.235
  -40.000000 -177.000000     17.021
  -39.000000 -177.000000     19.483
  -38.000000 -177.000000     22.125
  -37.000000 -177.000000     23.362
  -36.000000 -177.000000     24.199
  -35.000000 -177.000000     24.995
  -34.000000 -177.000000     24.784
  -33.000000 -177.000000     23.755
  -32.000000 -177.000000     20.597
  -31.000000 -177.000000     19.076
  -30.000000 -177.000000     26.436
  -29.000000 -177.000000     34.871
  -28.000000 -177.000000     40.722
  -27.000000 -177.000000     44.534
  -26.000000 -177.000000     47.450
  -25.000000 -177.000000     49.432
  -24.000000 -177.000000     51.066
  -23.000000 -177.000000     52.285
  -22.000000 -177.000000     52.935
  -21.000000 -177.000000     52.659
  -20.000000 -177.000000     51.714
  -19.000000 -177.000000     50.538
  -18.000000 -177.000000     49.169
  -17.000000 -177.000000     47.757
  -16.000000 -177.000000     46.473
  -15.000000 -177.000000     44.990
  -14.000000 -177.000000     42.833
  -13.000000 -177.000000     37.019
  -12.000000 -177.000000     34.751
  -11.000000 -177.000000     33.215
  -10.000000 -177.000000     29.653
   -9.000000 -177.000000     27.206
   -8.000000 -177.000000     24.878
   -7.000000 -177.000000     22.440
   -6.000000 -177.000000     21.227
   -5.000000 -177.000000     20.588
   -4.000000 -177.000000     19.863
   -3.000000 -177.000000     19.967
   -2.000000 -177.000000     19.372
   -1.000000 -177.000000     18.896
    0.000000 -177.000000     18.956
    1.000000 -177.000000     19.366
    2.000000 -177.000000     18.062
    3.000000 -177.000000     17.082
    4.000000 -177.000000     16.252
    5.000000 -177.000000     15.974
    6.000000 -177.000000     15.790
    7.000000 -177.000000     15.432
    8.000000 -177.000000     13.258
    9.000000 -177.000000     12.070
   10.000000 -177.000000     11.517
   11.000000 -177.000000     11.189
   12.000000 -177.000000     11.364
   13.000000 -177.000000     11.307
   14.000000 -177.000000      9.644
   15.000000 -177.000000      9.047
   16.000000 -177.000000      7.471
   17.000000 -177.000000      7.437
   18.000000 -177.000000      6.380
   19.000000 -177.000000      5.531
   20.000000 -177.000000      3.824
   21.000000 -177.000000      2.021
   22.000000 -177.000000      1.480
   23.000000 -177.000000      0.728
   24.000000 -177.000000      0.069
   25.000000 -177.000000     -0.741
   26.000000 -177.000000     -2.149
   27.000000 -177.000000     -0.819
   28.000000 -177.000000     -1.947
   29.000000 -177.000000     -5.984
   30.000000 -177.000000     -7.678
   31.000000 -177.000000     -8.197
   32.000000 -177.000000     -8.920
   33.000000 -177.000000    -10.397
   34.000000 -177.000000    -10.451
   35.000000 -177.000000     -9.748
   36.000000 -177.000000    -11.544
   37.000000 -177.000000    -12.696
   38.000000 -177.000000    -12.505
   39.000000 -177.000000    -12.439
   40.000000 -177.000000    -12.520
   41.000000 -177.000000    -11.831
   42.000000 -177.000000    -10.741
   43.000000 -177.000000     -8.833
